"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs"
"L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,5,1
"L4",5.208333,19.79167,20,TRUE,5,"ON","F1",193,3.208333,4.208333,6,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,7,1
"L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,5,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,7,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,10,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,7,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,5,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,4,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,4,1
"L4",6.208333,19.75,20,TRUE,5,"ON","F1",193,4.208333,5.208333,3,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,10,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,7,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,1,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,5,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,8,1
"L4",4.208333,19.75,20,TRUE,5,"ON","F1",193,2.208333,3.208333,3,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,4,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,3,1
"L4",5.25,19.75,20,TRUE,5,"ON","F1",193,3.25,4.25,1,1
"L4",5.125,19.875,20,TRUE,5,"ON","F1",193,3.125,4.125,4,1
"L4",3.083333,19.75,20,TRUE,5,"ON","F1",193,1.083333,2.083333,1,1
"L4",4.083333,19.875,20,TRUE,5,"ON","F1",193,2.083333,3.083333,10,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,5,1
"L4",6.25,19.875,20,TRUE,5,"ON","F1",193,4.25,5.25,1,1
"L4",4.125,19.75,20,TRUE,5,"ON","F1",193,2.125,3.125,9,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,3,1
"L4",4.083333,19.79167,20,TRUE,5,"ON","F1",193,2.083333,3.083333,10,1
"L4",3.083333,19.75,20,TRUE,5,"ON","F1",193,1.083333,2.083333,8,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,2,1
"L4",4.25,19.79167,20,TRUE,5,"ON","F1",193,2.25,3.25,4,1
"L4",5.041667,19.91667,20,TRUE,5,"ON","F1",193,3.041667,4.041667,9,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,5,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,3,1
"L5",4.083333,33.66667,20,TRUE,5,"ON","F1",194,2.083333,3.083333,8,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,7,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,8,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,9,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,2,1
"L5",6.083333,33.79167,20,TRUE,5,"ON","F1",194,4.083333,5.083333,9,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,9,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,5,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,1,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,6,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,10,1
"L5",3.25,33.875,20,TRUE,5,"ON","F1",194,1.25,2.25,8,1
"L5",6.25,33.83333,20,TRUE,5,"ON","F1",194,4.25,5.25,7,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,3,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,5,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,3,1
"L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1
"L5",6.125,33.79167,20,TRUE,5,"ON","F1",194,4.125,5.125,2,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,9,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,7,1
"L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,2,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,2,1
"L5",3.25,33.875,20,TRUE,5,"ON","F1",194,1.25,2.25,6,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,6,1
"L5",5.166667,33.75,20,TRUE,5,"ON","F1",194,3.166667,4.166667,8,1
"L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,4,1
"L5",6.083333,33.75,20,TRUE,5,"ON","F1",194,4.083333,5.083333,10,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,6,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,8,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,4,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,6,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,6,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,10,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,8,1
"L5",9.041667,33.79167,20,TRUE,5,"ON","F1",194,7.041667,8.041667,2,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,2,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,4,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,9,1
"L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,1,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,7,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,6,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1
"L5",3.25,33.875,20,TRUE,5,"ON","F1",194,1.25,2.25,5,1
"L5",3.291667,33.75,20,TRUE,5,"ON","F1",194,1.291667,2.291667,6,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,7,1
"L5",3.166667,33.79167,20,TRUE,5,"ON","F1",194,1.166667,2.166667,5,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,7,1
"L5",6.125,33.875,20,TRUE,5,"ON","F1",194,4.125,5.125,10,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,7,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,5,1
"L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,4,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,4,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,3,1
"L5",6.083333,33.79167,20,TRUE,5,"ON","F1",194,4.083333,5.083333,10,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,7,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,5,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,8,1
"L5",4.25,33.75,20,TRUE,5,"ON","F1",194,2.25,3.25,3,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,4,1
"L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,3,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,1,1
"L5",4.25,33.83333,20,TRUE,5,"ON","F1",194,2.25,3.25,4,1
"L5",5.25,33.875,20,TRUE,5,"ON","F1",194,3.25,4.25,1,1
"L5",3.25,33.875,20,TRUE,5,"ON","F1",194,1.25,2.25,10,1
"L5",6.25,33.83333,20,TRUE,5,"ON","F1",194,4.25,5.25,5,1
"L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,1,1
"L5",5.291667,33.83333,20,TRUE,5,"ON","F1",194,3.291667,4.291667,9,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,3,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,10,1
"L5",4.041667,33.875,20,TRUE,5,"ON","F1",194,2.041667,3.041667,8,1
"L5",5.166667,33.79167,20,TRUE,5,"ON","F1",194,3.166667,4.166667,2,1
"L5",4.208333,33.79167,20,TRUE,5,"ON","F1",194,2.208333,3.208333,4,1
"L5",4.166667,33.875,20,TRUE,5,"ON","F1",194,2.166667,3.166667,9,1
"L6",8.625,31.75,20,TRUE,5,"ON","F1",195,6.625,7.625,5,1
"L6",9.583333,31.75,20,TRUE,5,"ON","F1",195,7.583333,8.583333,3,1
"L6",8.625,31.91667,20,TRUE,5,"ON","F1",195,6.625,7.625,8,1
"L6",8.583333,31.75,20,TRUE,5,"ON","F1",195,6.583333,7.583333,7,1
"L6",7.625,31.75,20,TRUE,5,"ON","F1",195,5.625,6.625,8,1
"L6",8.583333,31.75,20,TRUE,5,"ON","F1",195,6.583333,7.583333,9,1
