"stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.83201295017898,6.86476001550663,9.75130038424328,1
"L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",4,0,20,FALSE,20,"ON","F1",172,2,3,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",7,0,20,FALSE,20,"ON","F1",172,5,6,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.32743162322229,4.56929532066466,6.27300522886058,1
"L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
"L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.23341008998599,4.36001584187973,5.87706278888739,1
