"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"102","L6",6.625,9.875,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,3.75814747957121,6.60369225369389,10.716947564889,1
"103","L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,3.77829435032699,6.62336308412144,10.7359588939024,1
"104","L6",8.5,9.833333,20,TRUE,10,"ON","F1",165,6.5,7.5,1,1,3.76822103583081,6.61352778693312,10.7264533434642,1
"105","L6",7.541667,10,20,TRUE,10,"ON","F1",165,5.541667,6.541667,1,1,3.72792705255582,6.57418589002712,10.6884304573005,1
"106","L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,3.76822103583081,6.61352778693312,10.7264533434642,1
"107","L6",10.625,9.916667,20,TRUE,10,"ON","F1",165,8.625,9.625,1,1,3.74807392331161,6.59385672045467,10.7074417863139,1
"108","L6",7.625,9.916667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,3.74807392331161,6.59385672045467,10.7074417863139,1
"109","L6",6.5,9.833333,20,TRUE,10,"ON","F1",165,4.5,5.5,1,1,3.76822103583081,6.61352778693312,10.7264533434642,1
"110","L6",7.5,9.833333,20,TRUE,10,"ON","F1",165,5.5,6.5,1,1,3.76822103583081,6.61352778693312,10.7264533434642,1
"111","L6",7.625,9.791667,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,3.77829435032699,6.62336308412144,10.7359588939024,1
"112","L6",7.625,9.958333,20,TRUE,10,"ON","F1",165,5.625,6.625,1,1,3.73800060881542,6.58402142326635,10.6979362358756,1
"113","L6",8.625,9.791667,20,TRUE,10,"ON","F1",165,6.625,7.625,1,1,3.77829435032699,6.62336308412144,10.7359588939024,1
"114","L6",5.625,9.791667,20,TRUE,10,"ON","F1",165,3.625,4.625,1,1,3.77829435032699,6.62336308412144,10.7359588939024,1
"115","L6",6.625,9.791667,20,TRUE,10,"ON","F1",165,4.625,5.625,1,1,3.77829435032699,6.62336308412144,10.7359588939024,1
"116","L2",12,0,15,FALSE,15,"ON","F1",166,11,12,1,1,8.10010244496424,11.0111724775119,14.9546367775655,1
"117","L2",10,0,15,FALSE,15,"ON","F1",166,9,10,1,1,8.10010244496424,11.0111724775119,14.9546367775655,1
"118","L3",8.958333,0,15,FALSE,15,"ON","F1",167,6.958333,7.958333,1,1,5.75218537715918,7.99012533266135,11.0887597826009,1
"119","L3",9.958333,0,15,FALSE,15,"ON","F1",167,7.958333,8.958333,1,1,5.75218537715918,7.99012533266135,11.0887597826009,1
"120","L4",9,0,15,FALSE,15,"ON","F1",168,7,8,1,1,5.56934441081983,7.42608645368756,9.89400796182541,1
"121","L4",7,0,15,FALSE,15,"ON","F1",168,5,6,1,1,5.56934441081983,7.42608645368756,9.89400796182541,1
"122","L5",9,0,15,FALSE,15,"ON","F1",169,7,8,1,1,6.19851904881498,8.60984126330122,11.9581621170054,1
"123","L5",8,0,15,FALSE,15,"ON","F1",169,6,7,1,1,6.19851904881498,8.60984126330122,11.9581621170054,1
"124","L6",16,0,15,FALSE,15,"ON","F1",170,14,15,1,1,10.3080887432928,15.0309793342676,21.8910611145584,1
"125","L6",15,0,15,FALSE,15,"ON","F1",170,13,14,1,1,10.3080887432928,15.0309793342676,21.8910611145584,1
"126","L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"127","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"128","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"129","L2",8,0,20,FALSE,20,"ON","F1",171,7,8,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"130","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"131","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"132","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"133","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"134","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"135","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"136","L2",6,0,20,FALSE,20,"ON","F1",171,5,6,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"137","L2",7,0,20,FALSE,20,"ON","F1",171,6,7,1,1,4.85262498682113,6.58497549575636,8.92342914571059,1
"138","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"139","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"140","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"141","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"142","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"143","L3",4,0,20,FALSE,20,"ON","F1",172,2,3,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"144","L3",6,0,20,FALSE,20,"ON","F1",172,4,5,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"145","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"146","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"147","L3",7,0,20,FALSE,20,"ON","F1",172,5,6,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"148","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
